Format Version,1.21,Take Name,Bend 0 Try 2,Capture Frame Rate,120,Export Frame Rate,120,Capture Start Time,2021-03-12 09.52.00.856 PM,Total Frames in Take,4720,Total Exported Frames,4720,Rotation Type,Quaternion,Length Units,Millimeters
,,,,,,,,,,,,,,,,,
,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Ground,Module,Module,Module,Module,Module,Module,Module,Module
,,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,E1F0FEE983A311EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1,773CCB4983A511EB3A9F34CA0568EFB1
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Error Per Marker
Frame,Time,X,Y,Z,W,X,Y,Z,error,X,Y,Z,W,X,Y,Z,error
73,0.608333,0.000119,-4.3E-05,0.000133,-1,60.014515,-0.20935,76.832359,0.002876,-0.005503,0.000758,-0.001174,-0.999984,-37.131516,115.536858,140.155869,0.091245
74,0.616667,7E-05,-4.4E-05,0.000155,-1,60.025017,-0.202436,76.837662,0.005643,-0.005518,0.000612,-0.000979,-0.999984,-37.109348,115.535561,140.156952,0.095693
75,0.625,0.000117,-4E-05,0.000127,-1,60.037727,-0.235658,76.830994,0.004724,-0.004919,0.000854,-0.001042,-0.999987,-37.117821,115.512474,140.164627,0.082745
76,0.633333,9E-05,-4.5E-05,0.000169,-1,60.037128,-0.260517,76.831909,0.005926,-0.003263,0.001309,-0.00117,-0.999993,-37.124653,115.51857,140.151443,0.089349
77,0.641667,0.000103,-3.5E-05,0.000204,-1,60.025475,-0.232588,76.835052,0.003278,-0.003335,0.001054,-0.000328,-0.999994,-37.146221,115.534065,140.153793,0.099566
78,0.65,5.9E-05,-4.4E-05,0.000175,-1,60.015324,-0.199699,76.832603,0.004997,-0.003324,0.001129,-0.001316,-0.999993,-37.139103,115.569016,140.154922,0.082551
79,0.658333,9.6E-05,-5.1E-05,9.6E-05,-1,60.022301,-0.185046,76.839798,0.00448,-0.005445,0.000548,-0.00122,-0.999984,-37.113029,115.555862,140.1595,0.099849
80,0.666667,0.000103,-4.9E-05,0.0002,-1,60.028473,-0.229871,76.835823,0.007421,-0.003252,0.001164,-0.001342,-0.999993,-37.1339,115.552933,140.159027,0.085759
81,0.675,0.00014,-4.7E-05,0.000137,-1,60.026001,-0.262271,76.830551,0.005444,-0.003457,0.001159,-0.001213,-0.999993,-37.137379,115.513641,140.146774,0.081432
82,0.683333,0.000132,-4.9E-05,0.00012,-1,60.036102,-0.242958,76.83078,0.002479,-0.005588,0.000839,-0.001131,-0.999983,-37.112053,115.504112,140.148895,0.090737
83,0.691667,0.000115,-4.6E-05,0.000113,-1,60.038242,-0.224053,76.83696,0.003338,-0.005097,0.000766,-0.001022,-0.999986,-37.114605,115.524879,140.167175,0.080136
84,0.7,8.7E-05,-4.3E-05,0.000131,-1,60.03154,-0.221952,76.833,0.002091,-0.005413,0.000995,-0.001321,-0.999984,-37.119423,115.518799,140.147354,0.094862
85,0.708333,9.8E-05,-5.6E-05,0.00014,-1,60.020626,-0.220438,76.836441,0.000874,-0.003491,0.001036,-0.00107,-0.999993,-37.13736,115.553467,140.15332,0.077175
86,0.716667,0.000118,-5.2E-05,0.000165,-1,60.019547,-0.216794,76.829941,0.00454,-0.00287,0.001117,-0.000635,-0.999995,-37.153618,115.545593,140.153305,0.098978
87,0.725,0.000111,-5.6E-05,0.000135,-1,60.01421,-0.201221,76.836975,0.006601,-0.003282,0.001184,-0.001202,-0.999993,-37.141258,115.57753,140.152557,0.082878
88,0.733333,0.000108,-4.2E-05,0.00014,-1,60.015446,-0.179395,76.84111,0.005533,-0.003358,0.001159,-0.001268,-0.999993,-37.13718,115.596893,140.15834,0.086855
89,0.741667,6.7E-05,-4.3E-05,0.000175,-1,60.020599,-0.203071,76.831535,0.007356,-0.005445,0.000869,-0.001138,-0.999984,-37.125534,115.529457,140.149689,0.091149
90,0.75,0.000112,-5.1E-05,0.000137,-1,60.036316,-0.241564,76.831963,0.006969,-0.003318,0.001219,-0.001294,-0.999993,-37.126518,115.523743,140.1483,0.079934
91,0.758333,8.2E-05,-3.3E-05,0.00024,-1,60.045277,-0.274809,76.828476,0.007739,-0.005252,0.000899,-0.001291,-0.999985,-37.107891,115.476105,140.151764,0.086272
92,0.766667,0.000124,-5.3E-05,0.000129,-1,60.034817,-0.2628,76.830643,0.004262,-0.005318,0.00086,-0.001022,-0.999985,-37.117195,115.479942,140.147095,0.091368
93,0.775,7.5E-05,-5E-05,0.000164,-1,60.024212,-0.212903,76.833931,0.001758,-0.005089,0.001255,-0.001534,-0.999985,-37.135612,115.531181,140.161942,0.075029
94,0.783333,9E-05,-5.6E-05,0.000136,-1,60.022549,-0.189557,76.835213,0.005359,-0.003609,0.001225,-0.001169,-0.999992,-37.131058,115.58004,140.153641,0.07962
95,0.791667,0.000135,-5.1E-05,0.000103,-1,60.022896,-0.203994,76.835098,0.006959,-0.003511,0.001076,-0.001192,-0.999993,-37.139069,115.564735,140.150421,0.078437
96,0.8,0.000118,-4.4E-05,0.000159,-1,60.025028,-0.228132,76.835716,0.002305,-0.00312,0.001233,-0.001149,-0.999994,-37.141022,115.555443,140.154037,0.081689
97,0.808333,6.1E-05,-4.1E-05,0.000199,-1,60.020187,-0.232633,76.831909,0.002275,-0.003415,0.00121,-0.001191,-0.999993,-37.141407,115.553246,140.154388,0.082034
98,0.816667,0.000121,-5.1E-05,0.000144,-1,60.02459,-0.210751,76.832047,0.007307,-0.005066,0.000811,-0.000694,-0.999987,-37.135586,115.504639,140.149734,0.108448
99,0.825,0.000102,-3.5E-05,0.00014,-1,60.04023,-0.22347,76.834702,0.003388,-0.005504,0.000813,-0.001309,-0.999984,-37.110577,115.517326,140.154556,0.089405
100,0.833333,0.000102,-4.2E-05,0.000143,-1,60.044376,-0.258076,76.831505,0.003755,-0.00519,0.000917,-0.001093,-0.999986,-37.110397,115.480675,140.148575,0.090528
101,0.841667,0.000101,-5.2E-05,0.000159,-1,60.036587,-0.266535,76.824356,0.007302,-0.003183,0.001101,-0.000431,-0.999994,-37.140598,115.500946,140.153839,0.094347
102,0.85,7.7E-05,-5.6E-05,0.000176,-1,60.025383,-0.21963,76.835518,0.002389,-0.002995,0.001086,-0.000384,-0.999995,-37.146339,115.533913,140.158188,0.099811
103,0.858333,8.8E-05,-5.5E-05,0.000172,-1,60.009865,-0.183933,76.837067,0.005111,-0.003248,0.001175,-0.001397,-0.999993,-37.146,115.588203,140.154984,0.08204
104,0.866667,0.000116,-5.8E-05,0.000141,-1,60.007252,-0.172921,76.837738,0.00822,-0.000655,0.00142,-0.000607,-0.999999,-37.16169,115.647194,140.180145,0.087571
105,0.875,0.000135,-4.9E-05,0.000129,-1,60.017044,-0.19414,76.837318,0.00759,-0.003318,0.001095,-0.000928,-0.999994,-37.136791,115.592766,140.158966,0.079997
