,time,joint_index,x,y,z,xr,yr,zr,wr,angle,axis,sensor_x,sensor_y,sensor_z,axis_x,axis_y,axis_z
85,0.5629569999999999,1,-52.27449,0.0,-69.182312,0.0,-0.8952260000000001,-0.0,-0.44561300000000004,-127.07488531265167,[ 0. -1. -0.],0.0217,0.0,0.0287,0.0,-1.0,-0.0
86,0.571298,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0226,-0.0,0.028,0.0,0.0,0.0
87,0.571298,1,-54.426525,0.0,-67.50235,0.0,-0.9021299999999999,-0.0,-0.431464,-128.87898195072228,[ 0. -1. -0.],0.0226,-0.0,0.028,0.0,-1.0,-0.0
88,0.5801189999999999,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0242,0.0,0.0266,0.0,0.0,0.0
89,0.5801189999999999,1,-58.461578,0.0,-64.039505,0.0,-0.914935,-0.0,-0.40360100000000004,-132.39301894572722,[ 0. -1. -0.],0.0242,0.0,0.0266,0.0,-1.0,-0.0
90,0.590329,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0245,0.0005,0.0263,0.0,0.0,0.0
91,0.590329,1,-59.110206999999996,-1.210602,-63.432526,-0.0064010000000000004,0.916968,-0.002785,0.3989,132.9811459624851,[-0.00698041  0.99997102 -0.0030371 ],0.0245,0.0005,0.0263,-0.0069804121059976534,0.9999710245293635,-0.0030370954093428314
92,0.599066,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0246,0.0011,0.0262,0.0,0.0,0.0
93,0.599066,1,-59.315822999999995,-2.6272349999999998,-63.194508,-0.013904,0.9176030000000001,-0.006019,0.39720900000000003,133.19236488798373,[-0.01515046  0.99986371 -0.00655859],0.0246,0.0011,0.0262,-0.015150457325598584,0.9998637149986507,-0.006558587646920158
94,0.6074,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0246,0.0014,0.0262,0.0,0.0,0.0
95,0.6074,1,-59.362255000000005,-3.332604,-63.117599,-0.017641999999999998,0.917737,-0.007626999999999999,0.39672399999999997,133.25293551585435,[-0.01921916  0.99978077 -0.00830884],0.0246,0.0014,0.0262,-0.019219157924959488,0.9997807695600582,-0.008308837858160414
96,0.615734,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0246,0.002,0.0262,0.0,0.0,0.0
97,0.615734,1,-59.341599,-4.7351790000000005,-63.047340000000005,-0.025074000000000003,0.91764,-0.010834,0.396474,133.28415101102385,[-0.02731234  0.99955729 -0.01180115],0.0246,0.002,0.0262,-0.027312344055877385,0.9995572864096403,-0.011801146027812695
98,0.624247,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0245,0.0025,0.0262,0.0,0.0,0.0
99,0.624247,1,-59.170162,-6.123939,-63.08886,-0.032424,0.917057,-0.014043,0.397187,133.19510621127625,[-0.03533037  0.99925854 -0.01530176],0.0245,0.0025,0.0262,-0.03533036524991475,0.9992585358065345,-0.015301761633498424
100,0.6325810000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0244,0.0031,0.0262,0.0,0.0,0.0
101,0.6325810000000001,1,-58.848335,-7.495342,-63.241661,-0.039664,0.91599,-0.017271,0.398862,132.9858906601244,[-0.04325357  0.99888658 -0.01883402],0.0244,0.0031,0.0262,-0.04325356989105205,0.998886584421762,-0.018834015873042557
102,0.64252,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0243,0.0034,0.0263,0.0,0.0,0.0
103,0.64252,1,-58.631065,-8.173414,-63.359356000000005,-0.043233,0.915274,-0.018897,0.40005999999999997,132.83615835443186,[-0.0471724   0.99867393 -0.0206189 ],0.0243,0.0034,0.0263,-0.04717239883922184,0.9986739336888473,-0.020618898083981572
104,0.6508550000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,[0. 0. 0.],0.0241,0.0039,0.0264,0.0,0.0,0.0
